TIP,2004-01-01
SHV,2007-02-02
BIL,2007-01-12
GSY,2008-03-01
GC=F,2001-01-01
EMSH,2014-01-01
EEM,2004-01-01
VWOB,2014-01-01
SPHY,2013-01-01
BSJO,2017-01-01
HYG,2008-01-01
AMC,2014-01-01
GME,2003-01-01
GBTC,2015-12-12
ETHE,2019-01-12
